time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),rain (mm),precipitation (mm),apparent_temperature (°C)
2025-05-01T00:00,27.7,86,25.0,0.00,0.00,34.1
2025-05-01T01:00,27.3,88,25.1,0.00,0.00,33.8
2025-05-01T02:00,27.1,88,24.9,0.00,0.00,33.3
2025-05-01T03:00,26.7,89,24.8,0.00,0.00,32.9
2025-05-01T04:00,26.3,92,24.9,0.00,0.00,32.6
2025-05-01T05:00,26.1,94,25.0,0.00,0.00,32.5
2025-05-01T06:00,27.3,89,25.4,0.00,0.00,33.9
2025-05-01T07:00,28.2,86,25.5,0.00,0.00,34.9
2025-05-01T08:00,29.9,76,25.3,0.00,0.00,36.5
2025-05-01T09:00,31.6,67,24.8,0.00,0.00,37.7
2025-05-01T10:00,32.9,62,24.8,0.00,0.00,39.5
2025-05-01T11:00,33.2,63,25.2,0.00,0.00,40.3
2025-05-01T12:00,33.3,60,24.6,0.00,0.00,40.0
2025-05-01T13:00,33.5,57,23.8,0.00,0.00,39.6
2025-05-01T14:00,33.4,55,23.1,0.00,0.00,39.2
2025-05-01T15:00,33.4,55,23.0,0.00,0.00,38.4
2025-05-01T16:00,32.6,59,23.5,0.00,0.00,36.2
2025-05-01T17:00,31.6,61,23.3,0.00,0.00,34.6
2025-05-01T18:00,30.3,71,24.4,0.00,0.00,34.1
2025-05-01T19:00,29.6,78,25.4,0.00,0.00,34.9
2025-05-01T20:00,29.4,77,25.0,0.00,0.00,35.0
2025-05-01T21:00,29.2,77,24.9,0.00,0.00,35.1
2025-05-01T22:00,28.7,80,24.9,0.00,0.00,35.1
2025-05-01T23:00,28.3,80,24.6,0.00,0.00,34.6
2025-05-02T00:00,27.8,83,24.6,0.00,0.00,34.0
2025-05-02T01:00,27.4,84,24.6,0.00,0.00,33.7
2025-05-02T02:00,27.1,87,24.7,0.00,0.00,33.4
2025-05-02T03:00,26.5,91,25.0,0.00,0.00,33.0
2025-05-02T04:00,26.2,93,24.9,0.00,0.00,32.8
2025-05-02T05:00,26.1,93,24.9,0.00,0.00,32.8
2025-05-02T06:00,26.9,81,23.5,0.00,0.00,32.5
2025-05-02T07:00,28.5,72,23.0,0.00,0.00,33.6
2025-05-02T08:00,30.3,66,23.4,0.00,0.00,35.5
2025-05-02T09:00,31.8,62,23.6,0.00,0.00,37.0
2025-05-02T10:00,33.0,59,23.9,0.00,0.00,39.1
2025-05-02T11:00,33.7,56,23.7,0.00,0.00,40.2
2025-05-02T12:00,34.3,50,22.4,0.00,0.00,40.0
2025-05-02T13:00,34.6,43,20.3,0.00,0.00,39.0
2025-05-02T14:00,34.1,45,20.4,0.00,0.00,38.0
2025-05-02T15:00,33.5,48,20.9,0.00,0.00,37.2
2025-05-02T16:00,33.1,48,20.5,0.00,0.00,35.6
2025-05-02T17:00,32.0,54,21.4,0.00,0.00,34.8
2025-05-02T18:00,30.6,62,22.4,0.00,0.00,34.0
2025-05-02T19:00,29.6,72,24.1,0.00,0.00,34.0
2025-05-02T20:00,29.3,74,24.2,0.00,0.00,33.6
2025-05-02T21:00,29.3,71,23.5,0.00,0.00,33.2
2025-05-02T22:00,29.2,70,23.2,0.00,0.00,33.7
2025-05-02T23:00,28.9,72,23.4,0.00,0.00,33.4
2025-05-03T00:00,28.5,76,23.8,0.00,0.00,33.8
2025-05-03T01:00,27.8,78,23.5,0.00,0.00,33.0
2025-05-03T02:00,27.3,77,23.0,0.00,0.00,32.5
2025-05-03T03:00,26.8,78,22.7,0.00,0.00,31.7
2025-05-03T04:00,26.4,78,22.3,0.00,0.00,30.9
2025-05-03T05:00,25.8,80,22.0,0.00,0.00,30.3
2025-05-03T06:00,27.0,76,22.5,0.00,0.00,31.9
2025-05-03T07:00,28.6,68,22.1,0.00,0.00,33.2
2025-05-03T08:00,30.4,66,23.3,0.00,0.00,35.4
2025-05-03T09:00,31.8,60,23.2,0.00,0.00,36.3
2025-05-03T10:00,32.7,58,23.4,0.00,0.00,38.1
2025-05-03T11:00,33.2,57,23.6,0.00,0.00,39.2
2025-05-03T12:00,33.3,56,23.3,0.00,0.00,39.3
2025-05-03T13:00,33.3,54,22.8,0.00,0.00,38.8
2025-05-03T14:00,33.2,55,23.0,0.00,0.00,38.2
2025-05-03T15:00,32.9,55,22.6,0.00,0.00,37.1
2025-05-03T16:00,32.2,56,22.3,0.00,0.00,35.3
2025-05-03T17:00,31.6,58,22.4,0.00,0.00,34.7
2025-05-03T18:00,30.1,69,23.9,0.00,0.00,34.3
2025-05-03T19:00,29.5,72,24.0,0.00,0.00,34.0
2025-05-03T20:00,29.2,74,24.1,0.00,0.00,34.0
2025-05-03T21:00,29.0,74,24.0,0.00,0.00,33.8
2025-05-03T22:00,28.8,76,24.0,0.00,0.00,33.8
2025-05-03T23:00,28.5,76,24.0,0.00,0.00,33.8
2025-05-04T00:00,28.1,79,24.0,0.00,0.00,33.6
2025-05-04T01:00,27.6,81,23.9,0.00,0.00,33.1
2025-05-04T02:00,27.2,82,23.8,0.00,0.00,32.8
2025-05-04T03:00,27.3,80,23.6,0.00,0.00,32.4
2025-05-04T04:00,27.0,81,23.5,0.00,0.00,32.2
2025-05-04T05:00,26.8,82,23.5,0.00,0.00,32.1
2025-05-04T06:00,28.1,79,24.1,0.00,0.00,33.5
2025-05-04T07:00,29.1,73,23.8,0.00,0.00,34.1
2025-05-04T08:00,30.5,66,23.4,0.00,0.00,34.9
2025-05-04T09:00,31.5,61,23.0,0.00,0.00,35.7
2025-05-04T10:00,32.2,58,22.9,0.00,0.00,36.9
2025-05-04T11:00,32.7,57,22.9,0.00,0.00,38.0
2025-05-04T12:00,32.9,54,22.5,0.00,0.00,38.0
2025-05-04T13:00,33.0,55,22.7,0.00,0.00,38.3
2025-05-04T14:00,32.8,56,22.9,0.00,0.00,37.8
